症狀,推薦穴位,來源,頁碼
多汗,魚際、耳尖、大椎、神闕,常見病特效一針療法,45
多汗,常用魚際、大椎、合谷、復溜、耳尖、神闕等穴位,常見病特效一針療法,46
多經病,交會穴,常見病特效一針療法,
夜尿症,遺尿穴、復溜,常見病特效一針療法,121
大腦缺血,足三里或施灸,常見病特效一針療法,
失眠,"耳尖, 神門",常見病特效一針療法,86
失眠,,常見病特效一針療法,
失眠,耳尖、風市、間谷,常見病特效一針療法,80
失眠,其黃穴,常見病特效一針療法,
失眠多夢,大陵、神門,常見病特效一針療法,87
失眠，癢，心臟病,膽經之風市穴,常見病特效一針療法,
失音,"天鼎、間使, 啞門",常見病特效一針療法,69
頭暈,,常見病特效一針療法,
頭暈,風府、總樞、曲池穴、靈骨穴、內關穴、俠溪穴,常見病特效一針療法,51
頭暈頭痛有嘔吐者（與胃氣有關）,太沖,常見病特效一針療法,76
頭暈目眩,"風池,百會,申脈,金門,手三里",常見病特效一針療法,48
頭痛,太陽穴刺血,常見病特效一針療法,
頭痛,"強間,豐隆,懸顱,頷厭,絲竹空,風池,湧泉,外關,合谷",常見病特效一針療法,47
頭痛發燒,曲池配大椎,常見病特效一針療法,
頭腮面頰紅,通裡,常見病特效一針療法,70
頭面耳目口鼻病,"曲池,合谷",常見病特效一針療法,47
頭頂痛,湧泉穴,常見病特效一針療法,169
頭項強,後溪、承漿，承漿亦常配風府，並用治項強痛,常見病特效一針療法,97
頭項強痛難回顧,承漿、風府,常見病特效一針療法,132
頭項痛,後溪,常見病特效一針療法,97
婦科疾病,還巢穴,常見病特效一針療法,
婦科病症,還巢穴,常見病特效一針療法,
婦科症,還巢穴,常見病特效一針療法,
子宮肌痙攣疼痛,承山,常見病特效一針療法,108
定時發病的病變，如寅時氣喘,肺經輸穴太淵,常見病特效一針療法,
寒溼腳氣,二三里、三陰交,常見病特效一針療法,
壽疾,承山,常見病特效一針療法,108
小便不利,陰谷,常見病特效一針療法,119
小便不通,中極、三里,常見病特效一針療法,152
小便失禁,還巢穴,常見病特效一針療法,
小兒急性病,少商,常見病特效一針療法,102
小腸疝氣,大敦、太沖,常見病特效一針療法,76
小腹脹滿,至陰,常見病特效一針療法,
小腹脹滿氣攻心,足臨泣,常見病特效一針療法,170
少陰病，吐利，手足逆冷，煩躁欲死,內關穴,常見病特效一針療法,58
尿瀦留,陰陵泉、人中,常見病特效一針療法,75
尿瀦留,陰陵泉、足三里、中極、關元、人中、至陰、膀胱俞、陰谷等,常見病特效一針療法,49
尿瀦留,陰陵泉，足三里，至陰，膀胱俞，中極，關元，人中,常見病特效一針療法,49
崩漏,隱白、十七椎下、內庭、承漿、大敦、太溪、腎俞、魚際、三焦俞、至陽、火枝穴、膽俞、合谷、人中、至陰、三陰交、三叉一穴,常見病特效一針療法,45
崩漏,務以止血為先，即古人所謂“塞流”也,常見病特效一針療法,
崩漏,隱白、大敦、三叉一穴,常見病特效一針療法,151
崩漏,三叉一穴配大敦、隱白；中極；十七椎下,常見病特效一針療法,151
崩漏,隱白、大敦、三又一穴、中極、十七椎下,常見病特效一針療法,151
崩漏、急性發炎,井穴,常見病特效一針療法,
崩漏療效極佳,隱白,常見病特效一針療法,151
左臉麻痺,左側,常見病特效一針療法,
帕金森症,其黃穴,常見病特效一針療法,
帶下,還果穴、陽陵泉,常見病特效一針療法,
帶下病,肩中穴,常見病特效一針療法,
帶狀皰疹,耳尖、制汙穴、帶狀皰疹周圍、先發皰疹及皰疹延伸尖端、行間等穴位的刺血療法或灸法,常見病特效一針療法,86
帶狀皰疹,耳尖穴、行間穴,常見病特效一針療法,86
帶下,還巢穴、木婦穴、雲白穴、通腎穴、陽陵泉、蠡溝等,常見病特效一針療法,
乾嘔，吐涎沫，頭痛,內關穴,常見病特效一針療法,58
幼兒尿閉,中極穴按壓法,常見病特效一針療法,
心前區疼痛或暈厥,,常見病特效一針療法,
心動過速,兩個攢竹穴同刺包圍印堂穴,常見病特效一針療法,
心動過速、心動過緩、風溼性心臟病以及心臟神經官能症,內關穴,常見病特效一針療法,58
心律失常,"心常穴, 間使, 液門, 肺俞, 足三里, 陶道, 曲池, 膻中, 水通穴、水金穴, 內關",常見病特效一針療法,45
心悸,建議穴位或對針：心常穴、內關,常見病特效一針療法,58
心悸、失眠,風池,常見病特效一針療法,48
心火亢盛所引起的疾病，如熱傷神明的心悸、失眠、心煩等。,勞宮穴,常見病特效一針療法,105
心絞痛,內關,常見病特效一針療法,58
心絞痛發作，急性心肌梗死、猝死,膻中穴、足三里穴,常見病特效一針療法,49
心臟疾病及氣喘,足三里（地部，約2寸）,常見病特效一針療法,49
心臟病,太沖、火硬、火主、通關、通山、四花中穴刺血、四花外穴刺血,常見病特效一針療法,72
心臟衰弱,總樞穴（董氏奇穴）,常見病特效一針療法,84
心脾兩虛或痰熱內擾而致的失眠,神門,常見病特效一針療法,87
心脾兩虛之病，治各類神經病變而見胃腸功能衰弱者更力相宜。,神門,常見病特效一針療法,87
心臟疾病,太衝穴,常見病特效一針療法,76
心臟病,胃經之足三里穴,常見病特效一針療法,
心血炎上兩眼紅,迎香,常見病特效一針療法,200
急性乳腺炎,肩井、曲池,常見病特效一針療法,51
急性乳腺炎,梁丘、太沖兩穴,常見病特效一針療法,76
急性乳腺炎,內關配曲池穴，梁丘配太沖,常見病特效一針療法,
急性咽炎,,常見病特效一針療法,
急性頭面五官炎症如結膜炎、扁桃體炎、咽喉炎，口舌生瘡、口腔潰瘍,耳尖,常見病特效一針療法,86
急性扁桃體炎,少商、商陽、耳背靜脈、魚際、尺澤等穴位。,常見病特效一針療法,45
急性扁桃體炎,少商,常見病特效一針療法,102
急性扁桃體炎,用三稜針在少商點刺出血效果良好，配合谷療效尤佳。,常見病特效一針療法,
急性病,絡穴刺血,常見病特效一針療法,
急性病症、痛證,郄穴,常見病特效一針療法,
急性病症及疼痛,郄穴,常見病特效一針療法,
急性睪丸炎,陽池,常見病特效一針療法,131
急性細菌性痢疾,陰陵泉,常見病特效一針療法,
急性肝炎,肝門穴,常見病特效一針療法,
急性肝炎,先針肝門、腸門,常見病特效一針療法,
急性腹瀉,針刺右側腸門較左側為佳,常見病特效一針療法,
急性蕁麻疹,大腸俞、內關,常見病特效一針療法,58
急性闌尾炎,常用穴位有闌尾、四花中穴、四花外穴、兩後肘尖、手門金等,常見病特效一針療法,
急慢性肝炎之黃疸,腕骨,常見病特效一針療法,136
急慢性肝炎之黃疸,後溪透勞宮,常見病特效一針療法,
急疼兩臂氣攻胸一,肩井,常見病特效一針療法,166
急腹症,針刺闌尾穴治療闌尾炎，針刺時機越早越好，刺激強度與針感很關鍵，可使闌尾運動增強，糞石移動和內容物排空。,常見病特效一針療法,
噁心、嘔吐,,常見病特效一針療法,
感冒,"三叉三穴, 大椎, 風池",常見病特效一針療法,44
感冒,液門穴、魚際配液門,常見病特效一針療法,45
感冒,三叉三穴、液門、魚際、木穴、大椎、肺俞、合谷、陶道等穴位；預防可針風池、足三里。,常見病特效一針療法,44
感冒,肺俞、合谷,常見病特效一針療法,47
感冒,合谷、陶道連同兩側之魄戶（計3穴）,常見病特效一針療法,47
感冒,足三里，若不知三又三穴之位置，可以液門穴代之。合谷能調營衛，治療感冒等同桂枝湯。木穴治感冒流涕可止於頃刻，感冒鼻塞者一經針刺即可緩解症狀,常見病特效一針療法,49
感冒,耳背靜脈,常見病特效一針療法,
感冒喉痛，並能退熱，鎮咳平喘，治肺炎,肺經之滎穴魚際,常見病特效一針療法,
感冒流涕,木穴,常見病特效一針療法,
感冒流涕，鼻塞,木穴,常見病特效一針療法,
慢性便秘,照海,常見病特效一針療法,90
慢性咽炎,,常見病特效一針療法,
慢性疾患、虛弱病,八會穴,常見病特效一針療法,
慢性病,絡穴針刺,常見病特效一針療法,
慢性肝炎,明黃、其黃、天黃,常見病特效一針療法,
慢性腸炎、胃炎,中脘,常見病特效一針療法,
慢性膽囊炎,木枝穴、下白穴、火枝穴、中瀆、膽囊、太沖、膽俞,常見病特效一針療法,76
慢性鼻竇炎（鼻淵）,迎香、木穴、印堂、門金穴、太沖、合谷、神闕等,常見病特效一針療法,47
扁桃體炎,"少商, 尺澤",常見病特效一針療法,54
扁桃體炎,耳背靜脈,常見病特效一針療法,
扁桃體腫大,耳背靜脈,常見病特效一針療法,
手指連肩疼,合谷、太沖,常見病特效一針療法,47
手痛麻木,曲池、合谷,常見病特效一針療法,47
手腕難移,腕骨,常見病特效一針療法,136
手臂拘攣,尺澤,常見病特效一針療法,54
手連肩脊痛,合谷、太沖,常見病特效一針療法,47
手部皮膚病及皮膚瘙癢,木穴,常見病特效一針療法,
打嗝,攢竹穴,常見病特效一針療法,70
打嗝,間使,常見病特效一針療法,69
打撲傷損破傷風,承山,常見病特效一針療法,108
抬眼無力,液門穴,常見病特效一針療法,45
抬腿無力,肩中穴,常見病特效一針療法,
抽動性,後溪穴,常見病特效一針療法,97
挽弓開不得，筋緩莫梳頭,曲池,常見病特效一針療法,51
支氣管哮喘,"魚際, 尺澤, 天突",常見病特效一針療法,45
無汗,瀉合谷，補復溜,常見病特效一針療法,
無汗、自汗及盜汗,復溜,常見病特效一針療法,122
早上一起床就打噴嚏,胃經輸穴陷谷,常見病特效一針療法,
昏厥,"人中, 崑崙, 十宣",常見病特效一針療法,75
昏厥,常用一針特效穴有人中、湧泉、內關、太衝、昆侖、中衝、百會，有效非一針穴有十二井、十宣。,常見病特效一針療法,58
昏厥,太沖、崑崙透太溪,常見病特效一針療法,76
昏厥,十二井穴,常見病特效一針療法,78
昏迷,人中,常見病特效一針療法,75
昏迷,中衝,常見病特效一針療法,192
暈針,足三里、少府,常見病特效一針療法,49
暈針,足三里、少府、人中,常見病特效一針療法,49
暈針,少府、人中,常見病特效一針療法,75
暈針,足三里,常見病特效一針療法,49
暴喑,通裡,常見病特效一針療法,70
暴喑,通裡,常見病特效一針療法,70
月經後期,腎關穴、人皇穴、靈骨穴,常見病特效一針療法,79
月經過多,三叉一穴、腎關穴、人皇穴、火硬穴、十七椎下,常見病特效一針療法,121
月經過少,,常見病特效一針療法,
月經量多,曲池、行間（火硬穴）、內庭；腎關穴、人皇穴、火硬穴；曲池、合谷、三陰交,常見病特效一針療法,47
月經不調,婦科穴、還巢穴,常見病特效一針療法,162
月經不調,婦科穴、血海、中極,常見病特效一針療法,152
月經不調,照海、還巢穴,常見病特效一針療法,90
月經不調（經行先期）,三陰交、十七椎下,常見病特效一針療法,
月經期子宮肌痙攣痛,承山穴、正筋穴,常見病特效一針療法,108
月經腹痛,至陰，配三陰交效果更佳。,常見病特效一針療法,
月經閉阻，少腹作脹兼疼痛而拒按的血滯經閉,血海穴配三陰交應用,常見病特效一針療法,
本經及本髒病,原穴,常見病特效一針療法,
術後頜骨緊不能張口,太陽穴放血,常見病特效一針療法,
梅尼埃病（重症頭暈）,其黃穴,常見病特效一針療法,
梅核氣,"間使, 足千金穴",常見病特效一針療法,69
梅核氣,間使、大陵、勞宮,常見病特效一針療法,69
梅核氣,太沖、足千金穴,常見病特效一針療法,76
欲言聲不出,通裡,常見病特效一針療法,70
氣喘,尺澤穴,常見病特效一針療法,54
氣喘,水通、孔最、尺澤,常見病特效一針療法,54
氣喘發作,少商刺血,常見病特效一針療法,
氣急,,常見病特效一針療法,
氣虛氣滯,鼻翼,常見病特效一針療法,89
氣血不調，氣血瘀滯，或下焦虛寒所致的病症,三陰交,常見病特效一針療法,
氣喘,魚際穴、孔最穴、尺澤穴、肺俞穴皆與肺或肺經有關。水通穴、水金穴治氣喘立見大效。內關穴理氣調氣作用甚好，又能強心；豐隆善治痰喘；膻中穴及天突穴治喘亦效。最常用魚際穴配水通穴，或尺澤穴配水通穴治療哮喘,常見病特效一針療法,45
水腫,水分、通腎穴、陰陵泉、人中、陷谷、脾俞、腎俞、足臨泣、中白穴、復溜等,常見病特效一針療法,75
水腫,命門穴,常見病特效一針療法,
水腫（包括四肢及面皆浮腫）,水分、復溜,常見病特效一針療法,122
汗出而喘,魚際穴及尺澤穴,常見病特效一針療法,
洩瀉,天樞,常見病特效一針療法,108
洩瀉,上巨虛,常見病特效一針療法,109
洩瀉及痢疾,上巨虛,常見病特效一針療法,109
洩瀉、腹痛、太陽穴處痛之偏頭痛、痛經均極有效。,陷谷,常見病特效一針療法,209
泌尿生殖系統疾病,關元配他穴（腎俞、三陰交、足三里）,常見病特效一針療法,49
泌尿繫結石,下白穴、太沖、馬金水穴、承山、六快穴,常見病特效一針療法,76
泌尿繫結石,下白穴、馬金水穴、太溪、外關、太沖、承山、腎俞、馬快水穴、六快穴等,常見病特效一針療法,76
淚出,臨泣、頭維,常見病特效一針療法,
流涎,地倉,常見病特效一針療法,182
